N°,X,Y
decret_2024_1065_tableau_1,,
B1,435165.69,701925.04
B2,435170.02,701855.00
B3,435169.04,701855.51
B4,435168.61,701814.39
B5,435170.39,701792.69
B6,435216.01,701237.08
B7,435211.64,701203.14
B8,435210.98,701174.25
BQ,435227.34,701151.96
B10,435222.98,7011152.12
B11,435229.94,701067.38
B12,435053.23,701091.11
B13,434959.99,701101.86
B14,434754.39,701117.06
B15,434708.40,701118.34
B16,434558.56,701118.34
B17,434547.76,701881.01
B18,434681 .83,701882.57
B19,434730.59,701911.66
B20,434973.92,701914.87
B21,434973.27,701923.88
